budget,genres,original_language,popularity,release_date,revenue
22531334.11,18,en,9.861672,1993,46405336
26000000,28,en,13.003122,2009,183293131
160000000,10751,en,287.253654,2017,1262886337
1271000,80,en,7.441117,2055,3788000
40000000,35,en,16.453573,2016,86234523
22531334.11,35,en,11.966566,1990,1382462
22531334.11,18,en,4.352904,2013,11294
113000000,878,en,13.165421,2005,850000000
22531334.11,35,en,4.074783,2060,6000000
35000000,18,en,5.370818,2003,11560806
30000000,35,en,8.587129,2002,180622424
5000000,53,en,13.524048,2014,2450846
22531334.11,27,en,13.235179,1983,5979292
1,10749,hi,1.280455,2003,2
22531334.11,35,en,11.950477,1992,20000000
12000000,35,en,17.788579,2013,265452
6000000,18,en,11.732546,2015,9077700
40000000,28,en,9.420931,2016,124827316
25000000,27,en,7.409179,1986,38748395
5000000,27,en,15.021058,2015,98450062
11000000,35,en,18.344227,1999,235483004
2053648,99,en,2.691433,1999,500000
85000000,18,en,11.057536,2006,59908565
1000000,18,en,17.911314,2054,36764313
1200000,18,en,2.017413,1978,14363400
22531334.11,35,en,9.197511,2014,13769
90000000,28,en,14.753545,2014,206172544
3000000,18,en,6.409512,2060,10400000
22531334.11,35,en,14.331454,2011,9504139
22531334.11,18,en,1.893822,1984,4385312
40000000,12,en,13.876881,2006,120455994
80000000,28,en,14.987902,2005,10166502
9250000,18,en,2.132964,1979,29174648
22000000,18,en,6.303785,2010,24188922
22531334.11,10402,en,11.449373,1993,17953778
27000000,18,en,1.408176,1992,14683921
22531334.11,14,en,7.477944,1992,32710894
22531334.11,53,es,7.328242,2014,190000
22531334.11,28,cn,9.488593,1986,4469460
800000,18,en,7.137026,2003,62852
22531334.11,27,en,5.007836,1988,7399763
11000000,18,en,4.08938,1993,1044824
50000000,12,en,30.121292,2009,709827462
50000000,28,en,16.838145,2015,71561644
22531334.11,18,de,4.912681,2012,4129250
30000000,35,en,9.058516,2007,219076518
14000000,12,en,0.825638,1980,16656125
103000000,16,en,8.18534,2014,500188435
22531334.11,18,fr,9.661817,1991,1999955
4000000,35,en,5.032469,2067,56666667
22531334.11,18,en,8.328596,1994,11220670
4000000,28,ko,6.314697,2002,1954937
150000000,16,en,26.024868,2016,1023784195
40000000,12,en,12.337898,1992,58662452
8250000,18,en,11.840985,2051,30000000
8000000,18,en,1.194377,1988,1893139
40000000,18,en,14.384554,2016,37279439
40000000,28,en,15.010525,2005,158733820
22531334.11,28,en,6.617717,1989,2692037
22531334.11,10751,en,0.000578,1991,402539
967686,35,en,11.934045,2010,4270000
35000000,35,en,10.794556,2010,39340177
12000000,53,en,15.297121,1982,78868508
14000000,18,fr,11.090265,2007,19777647
50000,28,en,11.329733,2007,249905
6000000,18,en,9.023686,2015,11122090
22531334.11,14,en,4.725759,2012,34153101
25000000,10749,en,7.257679,1999,84565230
30000000,35,en,6.734065,2005,50451307
50000000,28,en,9.91556,2008,113244290
22531334.11,35,en,0.358968,1998,21350
4500000,10749,en,11.578578,1980,58853106
6000000,18,en,10.505387,1999,10409377
22531334.11,16,en,2.340967,1981,6000000
22531334.11,53,cn,6.188664,1993,194720
80000000,35,en,7.210383,2008,163733697
22531334.11,35,fr,6.117335,2015,24134
23000000,36,en,9.604552,2007,29541790
6500000,35,en,9.369527,2005,24793509
15000000,35,en,7.844705,2014,59209
2000000,18,de,9.02255,2006,70000000
200000000,28,en,26.114917,2013,531865000
22531334.11,18,en,2.132858,1989,8800000
105000000,28,en,7.291872,2015,133718711
40000000,12,en,6.159379,2012,24719215
20000000,35,en,16.205105,2007,121463226
22531334.11,18,en,6.15698,2014,2262223
16000000,28,en,2.549325,1988,4192440
50000000,10752,en,10.223582,2016,25035950
9000000,28,hi,2.089842,2009,18130000
22531334.11,18,en,5.063701,1997,5926128
22531334.11,99,en,0.001272,2000,48752
22531334.11,18,en,14.67986,2010,3317662
22531334.11,99,en,2.92387,2011,7732325
130000000,18,en,9.566135,2008,49554002
150000000,28,en,15.884744,2016,331957105
22500000,18,en,18.908782,2016,29252978
22531334.11,35,en,12.553657,2008,55447968
5000000,35,en,8.645067,2017,3305592
13000000,18,en,4.654312,2016,1646788
40000000,12,en,13.689855,1989,332000000
22531334.11,18,en,4.582718,1992,22697691
22531334.11,35,en,2.614785,1993,12416686
2500000,18,en,2.296734,1993,764083
19000000,35,en,8.385361,2004,70067909
1601792,18,es,2.329513,2005,253527
22531334.11,12,en,3.457153,2015,2334228
94000000,18,zh,6.587711,2011,95311434
1300000,28,en,5.184013,1971,72266306
40000000,16,en,17.496832,1989,222300000
13000000,35,en,10.890236,2000,73180723
40000000,28,en,2.947411,2002,10959475
25000000,18,en,14.141837,2010,93617009
13000000,53,en,24.515462,1991,20560255
8,10752,ko,4.222195,2005,33579813
22531334.11,18,en,5.159349,2015,4631
22531334.11,27,en,3.215954,2009,66456
110000000,53,en,16.747793,2010,177238796
5000000,53,en,8.585856,2015,58978653
3000000,35,en,12.822085,2016,14016568
7000000,35,en,3.18614,2010,453079
15000000,16,en,11.179855,1973,32056467
20000000,10751,en,10.605851,2003,135680000
14000000,53,en,11.535478,2012,13551174
3000000,35,en,7.351028,2001,18492362
22531334.11,18,tr,4.433261,2011,138730
22531334.11,18,en,13.567726,2013,32846
75000000,53,en,18.311054,2016,220021259
42000000,10749,en,9.874043,1999,363889678
22531334.11,18,en,5.50751,1985,1400000
33000000,28,en,11.840557,1998,244386864
15000000,18,en,3.94159,2006,21000000
50000000,28,en,12.229381,1996,42277365
32000000,18,en,11.119707,2005,60740827
12000000,35,en,9.592265,1996,41205099
100000,9648,en,1.522753,1972,22000000
22531334.11,12,en,14.307672,2015,233755553
1000000,35,en,2.678923,2001,2402459
4000000,27,en,5.350658,2013,9221
886000,35,en,6.507597,2036,2600000
50000000,18,en,9.082538,2004,170128460
22531334.11,18,en,9.555852,2062,1250000
110000000,16,en,8.555544,2004,103951461
2700000,18,en,7.048957,2004,15992615
3860000,28,zh,8.959821,2013,64076736
10000000,14,zh,3.759301,2015,150000000
54000000,18,en,11.415316,2003,7266209
500000,18,en,0.892007,2009,11276
6000000,18,en,2.447359,1976,161000000
12000000,18,en,8.032616,2008,3148182
150000000,28,en,28.505341,2005,374218673
14500000,28,fr,5.892859,2003,65497208
30000000,35,en,10.778028,2011,36160375
22531334.11,18,en,0.91273,1990,1305887
22531334.11,35,en,8.870325,2010,21520719
150000000,28,en,29.36178,2015,378858340
22531334.11,18,en,7.464981,2006,16803753
4000000,27,en,5.296777,1988,9797098
10721568,18,hi,1.68625,2016,2978994
22531334.11,35,en,4.581577,2006,11449638
22531334.11,35,en,0.727837,2000,369975
20000000,16,en,5.219667,2013,27187375
355000,27,en,7.503126,2031,1012189
54000000,80,en,17.185349,1990,136766062
20000000,53,en,16.01076,2016,7227038
24000000,18,en,2.818802,1997,2642983
6400000,18,hi,1.856101,2013,18000000
1,18,en,8.159556,2036,8500000
6000000,18,en,9.424157,2006,48027970
15000000,35,en,2.936443,1996,2042530
22531334.11,18,en,13.177741,2016,152761
22531334.11,35,en,6.853782,1986,36611610
2196531,35,fi,0.947509,2005,2411594
22531334.11,99,en,1.199003,2008,887029
7000000,18,en,11.37237,2003,10000000
59000000,16,en,17.328902,2002,383257136
9750000,18,en,11.387338,2008,558000
13000000,18,en,5.53202,1988,8038508
24000000,35,en,4.197544,2001,14782676
17000000,27,en,12.01525,2013,97542952
22531334.11,99,en,0.007294,2011,26488
22531334.11,99,en,2.20137,2015,2642899
22531334.11,18,en,1.489895,2005,634074
50000000,18,en,5.91265,2006,9448082
151000,18,el,1.879162,2060,8000000
22531334.11,18,en,1.404434,1991,135893
88000000,10749,en,6.363884,2005,108539911
31000000,18,en,15.672195,2006,28000000
4000000,28,en,6.737142,2007,6101046
22531334.11,35,de,6.065049,2009,48720000
22531334.11,18,en,1.689926,2007,3106835
50000000,18,en,6.752119,1995,10382407
15000000,27,en,16.018525,2013,146497771
36000000,18,en,7.926621,1997,50159144
22531334.11,18,en,3.043177,1985,42160849
50000000,18,en,9.995617,2011,38502340
22531334.11,35,en,8.207548,1998,3572443
13000000,35,en,11.29356,2013,48065672
7700000,18,en,6.914615,2011,1072602
200000000,10751,en,17.285093,2010,1025491110
57000000,28,en,9.421301,2011,149217355
25000000,28,en,14.31675,2012,77278331
22531334.11,16,ru,2.115609,2013,18315000
22531334.11,28,en,6.970037,1978,49579269
22531334.11,18,en,0.223633,2012,306
20000000,36,en,10.680121,2008,54586584
5000000,35,en,6.719949,2002,368744044
22531334.11,27,en,1.818561,2002,13102295
22531334.11,28,en,1.698895,1989,8125592
37000000,35,en,10.722672,1986,37962774
22531334.11,99,en,2.564695,2011,386749
25000000,18,en,6.570918,1999,13000000
50000000,53,en,6.824871,2001,100020092
22531334.11,53,en,3.507084,1978,5438927
12000000,10402,en,14.21769,2006,114194847
20000000,12,en,8.157587,1985,18432000
22531334.11,28,en,5.787334,2006,16627188
12000000,28,ta,1.323587,2007,19000000
20000000,28,en,11.112153,2012,16863583
22531334.11,99,fr,1.568839,2014,52164
185000000,12,en,12.577266,2008,786636033
22531334.11,28,en,1.833948,1984,14134877
100000000,35,en,13.473381,2005,202026112
16000000,35,en,8.34322,1989,92823546
250000000,28,en,20.58258,2012,1084939099
31000000,18,en,14.004074,1985,128499205
9600000,18,en,6.133745,2015,2541554
22531334.11,27,en,6.770051,2012,30668
22531334.11,18,ko,4.333617,2013,2340
3500000,18,fr,1.333969,2016,1492523
25000000,28,en,11.829231,2013,2054941
50000000,80,en,7.66124,1997,50068310
9000000,36,en,8.475983,2016,4600000
22531334.11,28,ja,7.916658,2012,61700000
6500000,80,en,8.344282,1999,28451622
22531334.11,35,en,1.679042,1994,3662459
940000,18,ta,0.739665,2015,5100000
22531334.11,28,en,1.047417,1987,3832228
22531334.11,27,en,5.383766,1987,2683519
5000000,27,en,6.585405,1989,11642254
22531334.11,10749,en,10.177977,1995,35348597
7000000,18,en,7.218957,1991,191125
22531334.11,35,es,1.926826,2013,850259
5000000,18,en,7.392294,2014,75143
40000000,53,en,7.473718,1999,96618699
195000000,28,en,11.606061,2013,197687603
22531334.11,36,en,5.093586,2013,641
5000000,10751,en,9.841623,1981,42365581
28000000,28,en,10.445141,2003,58795814
143149,10751,ur,0.091951,2015,645135
57000000,80,en,11.626116,1993,159055768
163000000,28,en,10.958669,2011,174822325
40000000,53,en,49.247505,2017,171539887
22531334.11,35,en,6.816276,1987,4215859
22531334.11,80,ta,0.569463,2015,14000000
22531334.11,28,en,1.54105,2013,37884
1500000,35,en,5.875708,2012,1938
558000,18,en,1.41344,2031,2227000
8000000,18,en,5.052049,2006,18948425
180000000,14,en,19.467404,2014,758539785
2000000,18,en,12.792394,2014,4635300
22531334.11,12,ja,6.080108,2001,28023563
16000000,28,ko,4.136356,2009,11301649
35000000,35,en,4.386145,2008,43650785
100000000,28,en,12.845045,2010,278731369
22531334.11,18,en,1.954153,1994,124693
44000000,28,en,11.924462,1985,300400432
13000000,35,en,1.884204,1986,8475466
40000000,28,fr,5.996407,1992,8251071
25530000,12,en,4.557006,1996,20080020
22531334.11,10749,en,0.985785,2067,1000000
17000000,10749,en,7.812646,2012,73244881
22531334.11,80,en,12.945544,2015,1982505
13000000,18,en,5.138409,2012,1832541
22531334.11,99,en,5.416273,2015,1301696
2600000,27,it,3.501564,2004,1479042
50000000,35,en,10.246173,2011,142851197
22531334.11,35,en,11.492174,1987,65088797
22531334.11,35,de,9.221178,2015,83027924
250000000,12,en,19.083723,2009,933959197
19000000,28,en,9.262184,1995,141407024
11000000,53,fr,8.888718,2011,807535
800000,18,it,11.322173,2066,921548
25000000,35,en,9.304901,1997,36400360
22531334.11,10749,en,7.832484,2015,30229977
3000000,18,en,5.254847,1994,15119639
60000000,53,en,6.22229,2008,163403799
80000000,53,en,14.75562,2010,274470394
4200000,10749,hi,2.031919,2014,10000000
13000000,27,en,14.90169,2013,318000141
8500000,18,en,12.421754,1976,70600000
11000000,18,en,9.659244,2014,78874843
17000000,878,en,16.574021,1982,33000000
20000000,10751,en,8.16645,2010,39300000
80000000,14,en,9.034884,2000,39459427
11000000,35,it,5.010563,2011,12935800
60000000,12,fr,9.471838,1999,66976317
22531334.11,18,en,1.184009,1987,2189047
80000000,27,en,8.967638,1999,91188905
1000000,35,en,1.795849,2000,1744858
6700000,80,es,4.987123,2016,12118661
26000000,18,en,11.890138,1990,61489265
35000000,28,en,13.963892,2013,46216641
22531334.11,99,en,0.235518,2011,58840
19000000,18,en,2.727017,1989,19738015
22531334.11,18,en,10.841495,2012,23570541
31000000,18,en,14.505987,1992,134095253
20000000,35,en,4.15656,2003,1675706
22531334.11,99,en,7.594022,2003,13885802
22531334.11,18,en,2.165608,2014,49667
609000,35,en,7.122093,2035,3202000
22000000,28,en,9.763928,1984,28744356
22531334.11,28,en,7.122938,1991,65595485
6000000,18,ja,4.664474,2004,1530216
15000000,28,ja,9.285519,2016,77000000
1200000,27,en,23.508433,2004,103911669
60000000,35,en,6.504927,2003,164433867
22531334.11,35,fr,10.101183,1973,17808
6788000,35,en,7.88101,1991,13878334
10500000,18,da,8.253705,2014,42070000
20000000,14,en,10.448481,1995,21284514
22531334.11,18,en,5.185771,2004,1841260
1000000,18,hi,10.766409,2013,4235151
73000000,18,en,8.884406,1999,151493655
2000000,53,en,0.717595,2006,30
22531334.11,35,en,0.007877,2011,60
3000000,27,en,8.122042,1986,19472057
25000000,28,en,11.338194,1993,56505065
35000000,35,en,17.310647,2015,140795793
22531334.11,10749,en,9.385078,1985,41410568
17000000,35,en,11.03595,2012,115350426
12000000,18,en,5.914833,1993,22750363
22531334.11,18,en,6.093938,2011,957240
9200000,28,en,0.882864,2013,21000000
40000000,10749,en,12.589019,2006,114830111
27000000,27,en,9.644085,2009,29000000
30000000,28,en,12.727269,2012,47042000
10000000,28,en,6.703892,2016,6272403
22531334.11,99,en,1.081517,1995,87600000
75000000,28,en,12.287636,1999,108000000
22531334.11,16,ja,2.162495,2012,44057737
22531334.11,28,en,7.587797,1983,19910002
4000000,35,en,10.714173,1979,20045115
22531334.11,35,en,5.819403,2013,4187
32000000,12,en,14.958098,2009,27635305
22531334.11,18,en,4.119518,1983,6472990
137731,12,en,1.78367,1997,1778391
53000000,28,en,8.657365,1995,157387195
1800000,18,en,5.550496,2012,21107746
2000000,18,he,7.636625,2008,11125849
5000000,80,es,7.66414,2004,40266982
22531334.11,35,en,5.889414,1997,29235353
22531334.11,18,en,6.99099,2068,38901218
15000000,18,en,6.617708,2014,30127963
280379,27,en,8.913793,2066,364937
30000000,18,en,8.599342,2006,35078241
135000000,14,en,13.047776,2016,245623848
22531334.11,35,en,3.751532,2012,45250
40000000,12,en,6.475665,2011,5446000
56000000,28,en,7.81645,2005,113006880
100000000,12,en,18.932203,2004,347451894
22531334.11,35,en,0.654549,1988,331000
2000000,18,ru,3.462653,2008,38135878
14000000,10749,en,14.260779,1987,320145693
22531334.11,27,en,11.067992,1989,1519796
15000000,18,en,10.527141,2006,76286096
5000000,35,en,8.466725,2006,26888376
60000000,80,en,12.789812,2012,218340595
68000000,12,en,10.466306,1999,29762011
22531334.11,18,en,2.59282,1990,17487531
50000000,28,en,4.909738,1997,10541523
22531334.11,35,es,0.044048,2004,928391
17000000,18,en,6.590093,2009,14899417
22531334.11,80,en,3.554939,2012,525
2500000,18,en,3.750365,2008,107559
55000000,35,en,15.214342,2011,187361754
22531334.11,53,en,13.311827,1988,1108462
40000000,28,en,12.189038,1987,191185897
23000000,18,en,11.076971,1987,43984230
22531334.11,35,en,7.356831,1985,8692426
1200000,80,en,0.584397,2000,1404
180000000,12,en,18.13542,2005,748806957
22531334.11,18,en,7.489306,2009,199436
85000000,80,en,12.16276,2007,311312624
12000000,28,fr,7.594102,2004,9584131
6500000,35,en,8.254209,1976,51079064
22531334.11,35,en,0.619481,1987,9518342
2900000,18,pt,4.919716,1998,5596708
20000000,80,en,6.496913,2007,6819587
22531334.11,28,cn,8.461631,2001,42776760
4500000,80,en,6.874828,2000,7390108
4500000,35,en,8.786269,2010,123820
22531334.11,99,en,7.631049,2004,10000000
800000,27,no,7.974726,2009,1984662
22531334.11,18,en,6.437916,2013,15000
20000000,14,en,3.782547,1980,22471595
22531334.11,27,en,6.464826,2011,14347000
7000000,18,fr,6.868022,2014,6860853
25000000,28,en,7.308162,2001,80936232
15000000,12,en,13.183804,1987,120207127
22531334.11,18,en,6.266831,2014,985007
15000000,35,en,4.643981,2002,52970014
22531334.11,99,en,0.273694,2006,254190
22531334.11,878,es,0.676383,1983,606694
22531334.11,14,en,0.192513,1988,1221366
11000000,28,en,7.915368,2006,72778712
22531334.11,28,es,5.759423,1995,4367497
22531334.11,18,en,10.444048,2015,28641776
15000000,18,en,14.14078,2015,36869414
5000000,27,en,1.962873,2014,1189612
22531334.11,10749,nl,0.190879,2010,3082901
6000000,18,en,41.109264,1972,245066411
85000000,35,en,14.043416,2006,194168700
58000000,12,en,14.686036,1995,352194034
10000000,80,en,5.13955,2000,26330482
12000000,12,zh,2.162781,2015,80000000
38000000,35,en,8.898988,2016,112343513
15000000,35,en,3.96986,1989,40590000
22531334.11,35,es,0.481394,1991,3370574
22531334.11,35,en,0.288203,1987,119919
27000000,18,en,3.104943,1999,14859394
30000000,35,en,7.645827,2002,33013805
13500000,12,de,8.969705,2016,3342697
22531334.11,18,it,3.701538,2003,15530077
7200000,12,en,5.553737,1987,2300000
20000000,28,en,8.801032,2013,8352885
95000000,12,en,15.297821,2014,114178613
9000000,27,en,19.827546,1988,44196684
22531334.11,35,en,1.943323,1994,3021629
22531334.11,18,en,7.936216,1982,129795554
42000000,28,en,11.214779,2017,60845711
5600000,53,es,8.853168,2009,18469680
17000000,28,en,10.250997,2011,12355798
14000000,12,en,9.781451,1977,185438673
40000000,14,en,13.02535,1998,38172500
40000000,35,en,12.520688,2001,141069860
62000000,35,en,6.318445,1995,107879496
39000000,16,en,10.296047,2012,35287788
8500000,27,en,9.099731,1987,32222567
4000000,35,en,8.16339,2006,31584901
8000000,35,en,6.040486,1985,59612888
44000000,28,en,11.342024,2013,63327201
105000000,12,en,20.151037,2016,408579038
60000000,80,en,13.214068,2001,105178561
220000000,878,en,89.887648,2012,1519557910
75000000,27,en,7.116537,1999,14010690
350000,27,en,10.421679,1981,29400000
2600000,28,en,11.600224,1993,2850263
22531334.11,28,en,7.68372,1977,126737428
3537415,35,de,9.117054,2016,1390172
100000000,18,en,9.615691,2005,230884728
2000000,80,en,6.536006,1999,11540607
22531334.11,18,fr,3.408264,2014,40000
26000000,28,en,6.866634,1994,36800000
22531334.11,16,ja,2.969691,2009,50673078
22000000,53,en,6.760321,2013,15400000
22531334.11,18,en,14.214403,1994,30
100000,18,en,8.003815,2013,444098
20000000,35,it,39.39497,1997,229400000
22531334.11,18,ko,1.042432,2011,11
19000000,27,en,10.874079,1988,8247943
878000,18,en,13.916101,2042,10462500
22531334.11,27,en,5.599039,2014,14947
12000000,35,en,6.829528,2006,84500122
22531334.11,35,en,6.398905,1994,161410
22531334.11,18,en,7.78179,2016,1751330
17000000,35,en,11.454835,2004,129042871
300000,35,en,7.90622,2012,2750275
2000000,18,en,9.551293,2062,9250000
150000000,12,en,5.587707,2007,709709780
22000000,18,en,7.719173,1977,50750000
8000000,18,en,8.762536,2007,60641
27000000,14,en,9.848674,1983,16519460
3200000,18,en,6.72639,2010,5332926
300000,99,en,1.687901,2005,1750211
3500000,18,ko,6.261686,2012,7339398
90000000,12,en,10.338222,2013,174578751
32000000,53,en,9.796962,2011,147332697
13000000,18,en,15.295949,2006,2636637
22531334.11,18,en,4.249695,2027,121
3400000,35,en,5.101153,1977,31063038
19000000,10751,en,1.418221,1993,2119994
30000000,28,en,6.34785,1993,53898845
16000000,28,en,7.404835,2007,34786960
1250000,80,en,14.605464,2053,8500000
10000000,9648,en,17.046052,2016,30658387
3250000,18,en,1.393391,2006,32788
4000000,16,en,16.861533,2053,87404651
22531334.11,18,en,5.289075,1984,11129057
30000000,35,en,13.371056,2012,54819301
22531334.11,35,en,9.596119,2013,2681345
22531334.11,27,en,4.601867,2015,28281
22531334.11,14,en,11.069608,2009,4706919
22531334.11,35,en,6.341259,2009,6149791
18000000,80,en,9.309967,2007,25005257
80000000,18,en,10.796939,2004,96105964
22531334.11,35,en,0.60908,1971,11000000
22531334.11,35,en,12.372036,1985,24689703
10500000,28,en,11.548303,2016,100659
85000000,12,en,11.03897,2008,222231186
90000000,12,en,24.30526,1997,263920180
9000000,10749,en,7.720692,2012,8303261
12000000,10749,en,16.274653,2014,307166834
22531334.11,18,de,2.958988,1993,810455
22531334.11,80,es,1.099467,1980,680224
747000,9648,fr,2.775402,2068,44566
22531334.11,99,en,4.02059,2013,34664
1119000,18,en,0.948775,2036,2019000
22531334.11,16,en,2.087446,1985,7
20000000,35,en,9.830382,2013,46089287
15000000,35,en,7.603652,1997,64256513
10000000,35,en,3.492576,2002,598645
22531334.11,53,en,4.148276,2006,1675484
100000000,10752,en,11.174041,2010,94882889
30000000,18,en,7.566321,1998,82150642
5000000,18,en,1.845554,2014,846704
5,28,en,6.759519,1978,85
65000,10749,en,2.799356,2010,416498
13000000,28,zh,7.17548,2010,51723285
25000000,53,en,14.723646,2013,71009334
22531334.11,28,ta,1.459459,2017,17000000
62000000,28,en,7.879924,2000,127666415
22531334.11,35,en,4.912295,1987,35114428
6000000,878,en,10.124544,1981,50244700
22531334.11,18,it,5.257142,2005,5151936
23000000,12,en,9.327986,1987,51881013
6000000,18,en,14.044122,1987,213954274
10000000,53,en,14.014025,2000,83557872
52000000,35,en,6.906145,2011,75450437
18000000,80,en,4.558075,2010,871279
5000000,18,en,9.069963,1996,13269963
22531334.11,35,en,7.938629,2002,2744253
22531334.11,35,en,9.668784,2010,215576
22531334.11,53,en,8.569996,2016,9930095
22531334.11,18,en,10.273979,1986,13418091
55000000,35,en,14.178281,2000,330444045
7000000,28,es,4.896196,2010,3218666
5000000,28,en,4.800426,2008,1296184
15000000,28,en,7.942084,2016,20566327
22531334.11,28,en,5.634675,1978,7185518
200000000,16,en,13.693002,2011,559852396
20000000,27,en,8.129407,2010,80547866
100000000,28,en,23.247298,2017,142337240
22531334.11,35,en,5.843804,2014,223003
28000000,27,en,6.062425,2011,10126458
1750000,12,en,4.250819,2057,2200000
20000000,28,en,6.612175,2007,16974459
150000000,14,en,12.533525,2010,215283742
15000,27,en,12.706424,2007,193355800
26000000,35,en,11.519662,2005,109449237
22531334.11,18,en,0.618434,2007,473993
15000000,35,en,5.764399,1988,21032267
28000000,18,en,11.476443,2005,186438883
7000000,18,en,15.280219,2010,7644937
60000000,18,en,8.810961,2003,80154140
11000000,80,en,8.046375,1983,4491986
1500000,27,en,6.466688,2003,30553394
1000000,18,en,5.760319,2012,9138338
22531334.11,28,en,0.704637,2012,126
13800000,18,en,11.613655,1986,52293982
26000000,12,en,4.920175,2002,38793283
105000000,878,en,18.50194,2013,716392705
21000000,28,en,13.217421,2002,43928932
1200000,28,en,5.39865,2036,2736000
11800000,10749,en,8.364201,2015,40272135
1500000,27,es,8.504511,2007,30448000
72000000,18,en,9.997032,2005,96889998
225000000,12,en,12.490891,2008,419651413
5000000,28,en,3.531682,2001,5476060
7500000,35,en,5.795045,1989,296000000
22531334.11,80,en,9.518564,1995,17381942
22531334.11,80,en,1.323422,1997,57252
22531334.11,18,fr,1.764981,2010,404
22531334.11,37,it,1.62344,1975,39598448
36000000,28,en,17.714247,2003,44350926
22531334.11,27,en,1.714152,1989,337812
22531334.11,35,en,3.968853,1992,6132924
1500000,28,en,4.948569,1993,418961
5000000,53,en,5.59686,2011,3099314
22531334.11,35,fr,9.617662,2012,11879046
5000000,878,en,1.155075,1993,2970
15000000,18,en,3.4949,2011,4627375
60000000,18,en,11.328316,2009,31720158
22531334.11,18,en,3.524327,2014,28208
16000000,12,ja,10.264597,2000,68411275
7000000,80,en,9.107829,2010,46488
10000000,35,en,6.426937,1998,25605015
802000,18,en,6.165341,2042,4371000
260000000,28,en,14.670353,2012,284139100
120000,18,en,1.62632,2000,14904
6000000,35,en,15.11549,2064,102272727
13000000,18,en,6.236729,2001,16929123
25000000,28,en,7.492912,1984,8613462
230000,27,en,4.788002,1977,25000000
18000000,28,de,4.918419,2008,40239
22531334.11,35,en,0.941321,1987,41232
5000000,53,en,5.587765,1989,16554699
1000000,53,ru,1.896218,2015,2228115
22531334.11,16,ja,2.914029,2016,19204593
9000000,35,en,8.832907,2007,46
4000000,28,en,5.757907,1969,6000000
4000000,18,en,2.999052,2013,350006
2000000,18,es,4.126083,1992,21665468
50000000,35,en,14.383185,1990,41482207
22000000,28,en,9.737907,1983,67642693
700000,18,en,11.118844,2032,2594000
1700000,28,en,11.644764,1973,8844595
22531334.11,12,en,7.390658,2054,1300000
15000000,35,en,4.079853,1986,12308521
8000000,18,en,11.842837,1984,27187653
45000000,12,en,6.922458,1998,11203026
40000000,18,en,7.001645,2008,151161491
24000000,12,en,4.233081,1978,21049053
20500000,53,en,16.603041,1983,87987055
28000000,53,en,6.000716,2000,33000337
10700000,28,en,1.060709,1994,1238080
22531334.11,27,en,10.754614,1998,5624282
22531334.11,10751,en,2.099788,2014,37285
35000000,27,en,10.430238,2013,116980662
22531334.11,18,en,11.823889,2008,204660
44000000,28,en,4.393576,1980,3484331
1500000,35,en,8.168694,2039,9600000
22531334.11,16,fr,12.874084,2016,921974
18000000,28,en,7.263988,2008,25739015
25000000,28,en,7.637345,2001,64437847
22531334.11,35,en,2.69722,2011,144633
7000000,18,en,13.546984,2001,3646994
61000000,9648,en,154.801009,2014,369330363
22531334.11,18,en,1.954863,2010,18000
3900000,18,en,6.997888,2066,28350000
30000000,9648,en,17.955897,2003,90259536
33000000,14,fr,19.628834,2014,49100000
5000000,27,en,15.909181,2016,6341855
5000000,18,en,8.405672,1980,26010864
2200000,27,en,9.094477,1985,21930418
722083,36,en,0.817488,2014,499168
8000000,28,en,6.963023,1980,11715321
30000000,12,en,12.130803,2006,495303
110000000,28,en,20.547925,2015,470490832
65000000,878,en,18.860681,2004,128905366
22531334.11,9648,en,6.198003,2007,486021
22531334.11,18,en,1.935006,1994,3337685
22531334.11,18,ru,0.689004,2008,235432
22531334.11,27,en,12.515435,2008,3983997
22531334.11,35,en,9.394353,2005,1117920
25000000,12,en,6.196929,2011,27122040
22531334.11,35,en,0.284911,1990,1373728
22531334.11,18,fr,1.233405,1991,1942423
22531334.11,18,en,1.194891,1982,8100000
22531334.11,18,ar,5.451273,2012,1347747
150000000,878,en,4.351756,2009,836297228
22531334.11,99,en,0.037986,2005,15504
120000000,28,en,7.888013,2011,227817248
6000000,18,ru,0.292296,2007,31000
22531334.11,37,en,12.140407,1975,8022000
1200000,35,en,4.928139,1999,2600000
12000000,12,en,12.01334,2008,7070330
6000000,28,ru,1.822246,2012,4588176
35000000,27,en,13.955376,2002,68349884
30000000,18,en,9.524298,2012,196114570
22531334.11,18,da,4.749622,2015,1113277
7000000,28,en,14.054862,1988,20256975
22531334.11,18,en,0.53204,1997,10082
40000000,28,en,10.855502,2013,149295601
1,18,en,6.42883,2055,5
80000000,35,en,11.341084,2011,169852759
6000000,18,en,5.253453,1977,14717854
30000000,18,en,13.413895,2011,15395087
22531334.11,18,en,2.86317,2067,5200000
38000000,27,en,10.307277,2006,29907685
55000000,28,en,5.304043,1997,11466088
30000000,18,en,7.575696,2010,102820008
22531334.11,18,en,37.484577,2017,422
85000000,18,en,7.680762,2005,162242962
25000,28,en,3.985181,2015,25000
22531334.11,27,en,2.067929,1973,544476
22531334.11,35,en,6.481464,1980,101300000
11000000,28,en,9.003792,2013,3639345
22531334.11,28,en,3.985291,2012,1000000
22531334.11,18,ru,12.912845,2025,45100
35000000,35,en,6.332878,2009,155545279
22531334.11,35,en,0.708186,1981,10000000
